TitleName: Sort Algorithm
XUnitText: ProblemSize
YUnitText: TimeTaken
5000 0.012
6000 0.015
7000 0.016
8000 0.015
9000 0.0
10000 0.032
11000 0.015
12000 0.016
13000 0.058
14000 0.031
15000 0.016
16000 0.093
17000 0.08
18000 0.04
19000 0.025
20000 0.2
21000 0.031
22000 0.047
23000 0.047
24000 0.062
25000 0.066
26000 0.051
27000 0.078
28000 0.063
29000 0.071
30000 0.078
31000 0.078
32000 0.093
33000 0.094
34000 0.107
35000 0.097
36000 0.125
37000 0.125
38000 0.125
39000 0.139
40000 0.156
41000 0.141
42000 0.156
43000 0.156
44000 0.164
45000 0.179
46000 0.25
47000 0.251
48000 0.265
49000 0.265
50000 0.297
