TitleName: Sort Algorithm
XUnitText: ProblemSize
YUnitText: TimeTaken
5000 0.0
6000 0.0
7000 0.0
8000 0.0
9000 0.0
10000 0.004
11000 0.0
12000 0.0
13000 0.004
14000 0.0
15000 0.0
16000 0.0
17000 0.0
18000 0.0
19000 0.0
20000 0.0
21000 0.0
22000 0.0
23000 0.016
24000 0.0
25000 0.0
26000 0.0
27000 0.0
28000 0.0
29000 0.016
30000 0.0
31000 0.0
32000 0.0
33000 0.0
34000 0.0
35000 0.015
36000 0.0
37000 0.0
38000 0.0
39000 0.016
40000 0.0
41000 0.0
42000 0.0
43000 0.0
44000 0.0
45000 0.0
46000 0.0
47000 0.016
48000 0.003
49000 0.0
50000 0.0
51000 0.016
52000 0.0
53000 0.0
54000 0.015
55000 0.0
56000 0.0
57000 0.016
58000 0.0
59000 0.0
60000 0.016
61000 0.0
62000 0.0
63000 0.015
64000 0.0
65000 0.0
66000 0.0
67000 0.0
68000 0.016
69000 0.0
70000 0.015
71000 0.0
72000 0.0
73000 0.016
74000 0.0
75000 0.015
76000 0.0
77000 0.016
78000 0.0
79000 0.016
80000 0.0
81000 0.019
82000 0.005
83000 0.0
84000 0.015
85000 0.0
86000 0.016
87000 0.0
88000 0.015
89000 0.0
90000 0.009
91000 0.012
92000 0.008
93000 0.012
94000 0.008
95000 0.012
96000 0.008
97000 0.008
98000 0.0
99000 0.015
100000 0.016
